Name,Number of Variables, Number of Clauses,Hardware,QAOA Depth,Average Circuit Depth,Ideal Fidelity,Ideal Estimated Shots,Fidelity with Decoherence,Estimated Shots with Decoherence for 2/3 Success Rate,Fidelity without Decoherence,Estimated Shots without Decoherence for 2/3 Success Rate,Average Swap Overhead,Average Number of Two Qubit Gates,Iterations
uuf20-01-generated.cnf,20,175,ibm_sherbrooke,1,645.6,0.016578210665699415,68.17321895487069,0.0002129861829652524,7463.400227242283,0.08492506132723521,12.919171311957024,95,369,5
uuf21-01-generated.cnf,21,179,ibm_sherbrooke,1,829.6,0.006400722821090344,171.3775626516123,3.053161391140558e-05,56044.626116092724,0.048616838145413406,22.323940011627712,120,453,5
uuf22-01-generated.cnf,22,184,ibm_sherbrooke,1,912.0,0.003847371386460915,291.7419750055809,9.612609352904661e-06,149847.58348512682,0.035320178556439576,32.53270822430554,132,497,5
uuf23-01-generated.cnf,23,187,ibm_sherbrooke,1,1025.4,0.0014394783722738354,875.1761660592119,1.8750502336824577e-06,996726.984627958,0.0193858167223999,57.410472187662705,159,596,5
uuf24-01-generated.cnf,24,190,ibm_sherbrooke,1,1200.6,0.00048780392724841334,2383.6952187858687,2.20712443826682e-07,6915467.847487492,0.010155319036380858,110.87093030594615,183,689,5
uuf25-01-generated.cnf,25,191,ibm_sherbrooke,1,1251.0,0.0002975808234747317,3746.8544565454577,8.836275449022351e-08,12799739.292705383,0.007503196931617109,149.04814079832204,198,737,5
uuf26-01-generated.cnf,26,192,ibm_sherbrooke,1,1479.2,6.838923440042905e-05,16647.326496199745,2.601848524666825e-09,1178352666.333335,0.0025291735820290135,481.8335129450512,234,867,5
uuf27-01-generated.cnf,27,195,ibm_sherbrooke,1,1584.2,1.668126979281861e-05,68249.53271159946,1.3998218352245445e-10,11702157238.068396,0.0011912049421775677,932.2623326794122,270,993,5
uuf28-01-generated.cnf,28,197,ibm_sherbrooke,1,1836.8,1.8027801882046955e-06,612454.3771845587,2.4148793962123537e-12,718666651067.4319,0.0003191151257528438,3458.9075013537354,329,1200,5
uuf29-01-generated.cnf,29,200,ibm_sherbrooke,1,1978.6,3.2575000501019095e-07,3503452.7530753138,7.4366708479401e-14,30553807072612.133,8.148651401237867e-05,14020.393407564456,378,1367,5
uuf30-01-generated.cnf,30,201,ibm_sherbrooke,1,2123.2,9.364506341772164e-08,12587433.629504714,6.1751155992404745e-15,284403489665759.2,3.826786136442254e-05,33250.11612906914,411,1486,5
uuf31-01-generated.cnf,31,204,ibm_sherbrooke,1,2266.0,1.91167301145366e-08,61189016.280603625,1.8114469660665454e-17,-inf,7.054614463562987e-06,490996.9175289265,449,1616,5
uuf32-01-generated.cnf,32,208,ibm_sherbrooke,1,2504.6,4.0204995019678455e-09,298231567.04760176,1.1068719058577616e-18,-inf,2.784535907903833e-06,1287481.4908162125,489,1766,5
uuf33-01-generated.cnf,33,209,ibm_sherbrooke,1,2581.8,7.612923298474679e-10,1503946616.7010612,1.3177088524023575e-19,-inf,9.751186048604168e-07,1260082.306957646,536,1925,5
uuf34-01-generated.cnf,34,211,ibm_sherbrooke,1,2616.2,1.7174509035048986e-10,6656829057.425809,4.992218125202196e-22,-inf,1.323119900762487e-07,30102916.143031903,575,2059,5
uuf35-01-generated.cnf,35,212,ibm_sherbrooke,1,2901.8,5.1022073447244405e-11,22023922051.311928,1.1863874922538456e-22,-inf,7.461435164226989e-08,77748734.09070528,608,2173,5
